"Event Name","Mã sự kiện (string)","Ý nghĩa sự kiện"
"AUDIO_INPUT_STATE_CHANGE","""conference.audio_input_state_changed""","Ngày âm thanh đầu vào trong conference thay đổi trạng thái (có hoặc không có âm thanh đầu vào)."
"AUDIO_UNMUTE_PERMISSIONS_CHANGED","""conference.audio_unmute_permissions_changed""","Quyền bật tiếng (unmute) âm thanh được thay đổi dựa trên số người gửi âm thanh và giới hạn."
"AUTH_STATUS_CHANGED","""conference.auth_status_changed""","Trạng thái xác thực người dùng thay đổi."
"AV_MODERATION_APPROVED","""conference.av_moderation.approved""","Người tham gia đã được phép bật tiếng."
"AV_MODERATION_CHANGED","""conference.av_moderation.changed""","Chế độ kiểm duyệt âm thanh/video được bật hoặc tắt. Người thực hiện là người tham gia hiện tại hoặc không xác định."
"AV_MODERATION_PARTICIPANT_APPROVED","""conference.av_moderation.participant.approved""","Báo cáo người dùng được duyệt để bật tiếng."
"AV_MODERATION_PARTICIPANT_REJECTED","""conference.av_moderation.participant.rejected""","Báo cáo người dùng bị chặn không được bật tiếng."
"AV_MODERATION_REJECTED","""conference.av_moderation.rejected""","Người tham gia bị chặn không thể bật tiếng."
"BEFORE_STATISTICS_DISPOSED","""conference.beforeStatisticsDisposed""","Sự kiện xảy ra trước khi module thống kê bị giải phóng, cơ hội cuối để gửi log thống kê."
"BOT_TYPE_CHANGED","""conference.bot_type_changed""","Loại bot thay đổi."
"BREAKOUT_ROOMS_MOVE_TO_ROOM","""conference.breakout-rooms.move-to-room""","Người tham gia được yêu cầu tham gia phòng phụ (breakout room)."
"BREAKOUT_ROOMS_UPDATED","""conference.breakout-rooms.updated""","Dữ liệu các phòng phụ được cập nhật."
"BRIDGE_BWE_STATS_RECEIVED","""conference.bridgeBweStatsReceived""","Thống kê lượng băng thông từ cầu truyền hình (bridge) được nhận."
"CONFERENCE_CREATED_TIMESTAMP","""conference.createdTimestamp""","Thời gian UTC khi người tham gia đầu tiên tham gia conference."
"CONFERENCE_ERROR","""conference.error""","Báo lỗi xảy ra trong conference."
"CONFERENCE_FAILED","""conference.failed""","Conference bị lỗi hoặc thất bại."
"CONFERENCE_JOIN_IN_PROGRESS","""conference.join_in_progress""","Đang trong quá trình tham gia conference."
"CONFERENCE_JOINED","""conference.joined""","Conference đã được tham gia hoàn tất."
"CONFERENCE_LEFT","""conference.left""","Người dùng đã rời conference."
"CONFERENCE_UNIQUE_ID_SET","""conference.unique_id_set""","ID duy nhất của conference đã được thiết lập."
"CONFERENCE_VISITOR_CODECS_CHANGED","""conference.visitor_codecs_changed""","Bộ codec mà các khách tham quan hỗ trợ đã thay đổi."
"CONNECTION_ESTABLISHED","""conference.connectionEstablished""","Kết nối đến conference được thiết lập lần đầu."
"CONNECTION_INTERRUPTED","""conference.connectionInterrupted""","Kết nối đến conference bị gián đoạn."
"CONNECTION_RESTORED","""conference.connectionRestored""","Kết nối đến conference đã được khôi phục."
"DATA_CHANNEL_CLOSED","""conference.dataChannelClosed""","Kênh dữ liệu với cầu truyền hình bị đóng."
"DATA_CHANNEL_OPENED","""conference.dataChannelOpened""","Kênh dữ liệu với cầu truyền hình được mở."
"DISPLAY_NAME_CHANGED","""conference.displayNameChanged""","Người dùng thay đổi tên hiển thị."
"DOMINANT_SPEAKER_CHANGED","""conference.dominantSpeaker""","Người nói chính trong conference thay đổi."
"DTMF_SUPPORT_CHANGED","""conference.dtmfSupportChanged""","Hỗ trợ DTMF (Dual-tone multi-frequency signaling) thay đổi."
"E2EE_VERIFICATION_AVAILABLE","""conference.e2ee.verification.available""","Xác minh mã hóa dữ liệu đầu cuối (E2EE) sẵn sàng."
"E2EE_VERIFICATION_COMPLETED","""conference.e2ee.verification.completed""","Xác minh mã hóa dữ liệu đầu cuối hoàn tất."
"E2EE_VERIFICATION_READY","""conference.e2ee.verification.ready""","Xác minh mã hóa dữ liệu đầu cuối chuẩn bị sẵn sàng."
"ENCODE_TIME_STATS_RECEIVED","""conference.encode_time_stats_received""","Thống kê thời gian mã hóa video địa phương được nhận."
"ENDPOINT_MESSAGE_RECEIVED","""conference.endpoint_message_received""","Nhận tin nhắn từ người tham gia khác trên kênh dữ liệu."
"ENDPOINT_STATS_RECEIVED","""conference.endpoint_stats_received""","Nhận thống kê đầu cuối từ kênh cầu truyền hình."
"FILE_SHARING_FILE_ADDED","""conference.file_sharing.file_added""","File được thêm vào conference."
"FILE_SHARING_FILE_REMOVED","""conference.file_sharing.file_removed""","File bị xóa khỏi conference."
"FILE_SHARING_FILES_RECEIVED","""conference.file_sharing.files_received""","Danh sách file được nhận trong conference."
"LOBBY_USER_UPDATED","""conference.lobby.userUpdated""","Người dùng trong phòng đợi được cập nhật."
"LOCK_STATE_CHANGED","""conference.lock_state_changed""","Phòng hội nghị được khóa hoặc mở khóa."
"MEMBERS_ONLY_CHANGED","""conference.membersOnlyChanged""","Conference chuyển sang chế độ chỉ cho thành viên hoặc ngược lại."
"MESSAGE_RECEIVED","""conference.messageReceived""","Tin nhắn văn bản mới được nhận."
"METADATA_UPDATED","""conference.metadata.updated""","Metadata conference được cập nhật."
"NO_AUDIO_INPUT","""conference.no_audio_input""","Thiết bị âm thanh đầu vào không có tín hiệu."
"NOISY_MIC","""conference.noisy_mic""","Microphone hiện tại bị nhiễu ồn."
"PERMISSIONS_RECEIVED","""conference.permissions_received""","Quyền của người dùng địa phương được cập nhật."
"PHONE_NUMBER_CHANGED","""conference.phoneNumberChanged""","Số điện thoại đã thay đổi."
"POLL_ANSWER_RECEIVED","""conference.pollAnswerReceived""","Đã nhận câu trả lời cho một cuộc thăm dò."
"POLL_RECEIVED","""conference.pollReceived""","Đã nhận một cuộc thăm dò mới hoặc tải lại cuộc thăm dò từ lịch sử."
"PRIVATE_MESSAGE_RECEIVED","""conference.privateMessageReceived""","Tin nhắn văn bản riêng tư được nhận."
"PROPERTIES_CHANGED","""conference.propertiesChanged""","Thay đổi thuộc tính conference."
"REACTION_RECEIVED","""conference.reactionReceived""","Phản ứng mới được nhận."
"RECORDER_STATE_CHANGED","""conference.recorder.state.changed""","Trạng thái ghi âm trong conference thay đổi."
"SERVER_REGION_CHANGED","""conference.serverRegionChanged""","Vùng máy chủ được thay đổi."
"SILENT_STATUS_CHANGED","""conference.silentStatusChanged""","Trạng thái im lặng của người dùng thay đổi."
"START_MUTED_POLICY_CHANGED","""conference.startMutedPolicyChanged""","Chính sách bắt đầu ở trạng thái mute thay đổi."
"SUBJECT_CHANGED","""conference.subjectChanged""","Chủ đề conference thay đổi."
"SUSPEND_DETECTED","""conference.suspendDetected""","Phát hiện máy chủ bị tạm dừng hoạt động."
"TALK_WHILE_MUTED","""conference.talkWhileMuted""","Người dùng nói trong khi đang mute."
"TRACK_ADDED","""conference.trackAdded""","Track media (âm thanh, video) được thêm vào conference."
"TRACK_AUDIO_LEVEL_CHANGED","""conference.trackAudioLevelChanged""","Mức âm thanh của track thay đổi."
"TRACK_MUTE_CHANGED","""conference.trackMuteChanged""","Trạng thái mute/unmute của track thay đổi."
"TRACK_REMOVED","""conference.trackRemoved""","Track media bị xóa khỏi conference."
"TRACK_UNMUTE_REJECTED","""conference.trackUnmuteRejected""","Yêu cầu bật tiếng track bị từ chối."
"TRANSCRIPTION_STATUS_CHANGED","""conference.transcriptionStatusChanged""","Trạng thái chuyển văn bản (transcription) trong conference thay đổi."
"USER_JOINED","""conference.userJoined""","Người dùng tham gia conference."
"USER_LEFT","""conference.userLeft""","Người dùng rời conference."
"USER_ROLE_CHANGED","""conference.userRoleChanged""","Vai trò người dùng thay đổi."
"USER_STATUS_CHANGED","""conference.userStatusChanged""","Trạng thái người dùng thay đổi."
"VIDEO_CODEC_CHANGED","""conference.videoCodecChanged""","Codec video được sử dụng thay đổi."
"VIDEO_SIP_GW_AVAILABILITY_CHANGED","""conference.videoSipGwAvailabilityChanged""","Trạng thái sẵn có của gateway SIP video thay đổi."
"VIDEO_SIP_GW_SESSION_STATE_CHANGED","""conference.videoSipGwSessionStateChanged""","Trạng thái phiên gateway SIP video thay đổi."
"VIDEO_UNMUTE_PERMISSIONS_CHANGED","""conference.videoUnmutePermissionsChanged""","Quyền bật tiếng video thay đổi."
"VISITORS_MESSAGE","""conference.visitorsMessage""","Tin nhắn từ khách tham quan."
"VISITORS_REJECTION","""conference.visitorsRejection""","Khách tham quan bị từ chối."
"VISITORS_SUPPORTED_CHANGED","""conference.visitorsSupportedChanged""","Trạng thái hỗ trợ khách tham quan thay đổi."